10, 0.1831 0.2958 0.3204 0.457 0.5335 0.6008 0.4641 0.3606 0.3683
20, 0.2186 0.3122 0.487 0.4717 0.585 0.6515 0.4959 0.4114 0.3988
40, 0.2168 0.412 0.5611 0.6226 0.7157 0.7054 0.5376 0.456 0.4205
60, 0.2322 0.4739 0.5687 0.7092 0.6595 0.6806 0.5683 0.4897 0.461
80, 0.2565 0.4839 0.6292 0.7647 0.7322 0.7606 0.6252 0.5537 0.5355
100, 0.2669 0.4848 0.6648 0.7472 0.7392 0.6907 0.6673 0.5671 0.4831
600, 0.3537 0.6658 0.8107 0.8774 0.8466 0.8635 0.8061 0.7097 0.6494
1000, 0.3928 0.7058 0.8423 0.8948 0.839 0.8683 0.8198 0.7369 0.7067
3000, 0.4719 0.7934 0.8851 0.9228 0.8875 0.9012 0.8605 0.8091 0.7617
