10, 0.3888 0.4672 0.5383 0.5677 0.5217 0.5279 0.517 0.5341 0.5187
20, 0.5175 0.5959 0.5307 0.6834 0.6418 0.6265 0.5149 0.6151 0.5861
40, 0.6084 0.6972 0.6959 0.7122 0.6717 0.6218 0.6688 0.6931 0.6567
60, 0.7254 0.7153 0.7556 0.7449 0.7445 0.795 0.7414 0.6821 0.6735
80, 0.7175 0.7262 0.8093 0.7897 0.7329 0.769 0.7508 0.7597 0.7359
100, 0.7392 0.7695 0.7378 0.7772 0.7646 0.7815 0.7972 0.7328 0.7387
600, 0.8797 0.895 0.8987 0.8986 0.8352 0.8787 0.8774 0.8833 0.8675
1000, 0.9005 0.9186 0.9173 0.9089 0.8596 0.8951 0.9096 0.9087 0.9043
3000, 0.9356 0.9349 0.9417 0.9376 0.8816 0.9318 0.9322 0.9331 0.926
