10, 0.4116 0.452 0.5726 0.5704 0.5329 0.579 0.5336 0.5614 0.5474
20, 0.6822 0.5497 0.6316 0.7421 0.6707 0.6808 0.6847 0.7034 0.6263
40, 0.6857 0.744 0.7653 0.7987 0.7359 0.8138 0.7391 0.7567 0.7748
60, 0.7753 0.7588 0.7922 0.8476 0.7913 0.8509 0.8385 0.8027 0.8171
80, 0.7454 0.7674 0.8691 0.8663 0.8086 0.868 0.8473 0.8422 0.8235
100, 0.8039 0.745 0.8536 0.8625 0.786 0.8967 0.8681 0.8743 0.8575
600, 0.8743 0.9264 0.9344 0.9488 0.8953 0.9316 0.9494 0.9248 0.9251
1000, 0.8881 0.928 0.9535 0.9587 0.8635 0.941 0.9523 0.9392 0.9313
3000, 0.9083 0.9551 0.9698 0.9676 0.924 0.9603 0.9613 0.9625 0.9484
