10, 0.1788 0.2193 0.2041 0.3429 0.3039 0.5611 0.3504 0.2715 0.2774
20, 0.198 0.3633 0.3444 0.4908 0.4495 0.6061 0.4543 0.4119 0.2858
40, 0.3125 0.3015 0.5502 0.6202 0.5621 0.6447 0.6101 0.5381 0.5178
60, 0.3256 0.433 0.6503 0.6971 0.5116 0.7742 0.6816 0.4253 0.534
80, 0.2225 0.7273 0.7623 0.6077 0.5024 0.7998 0.7171 0.4457 0.64
100, 0.3925 0.6732 0.7617 0.8352 0.6807 0.8213 0.7547 0.7372 0.7166
600, 0.2696 0.8726 0.9054 0.9162 0.8313 0.8985 0.8081 0.8753 0.8491
1000, 0.3263 0.8827 0.9141 0.9365 0.8677 0.9053 0.9099 0.858 0.8671
3000, 0.2653 0.8079 0.9289 0.9501 0.8507 0.9443 0.9197 0.8816 0.7952
