10, 0.1855 0.2484 0.3218 0.4724 0.3918 0.4747 0.4696 0.3792 0.2306
20, 0.2829 0.3792 0.4277 0.5372 0.5478 0.6895 0.6153 0.4102 0.4461
40, 0.2206 0.6103 0.5741 0.7797 0.5721 0.7205 0.6095 0.6158 0.5073
60, 0.3536 0.6526 0.484 0.7042 0.4752 0.7678 0.6826 0.6887 0.6172
80, 0.2995 0.714 0.7524 0.7403 0.7105 0.8255 0.7459 0.7193 0.741
100, 0.2567 0.7289 0.7859 0.8415 0.5322 0.8433 0.8158 0.7156 0.7092
600, 0.2992 0.8322 0.8931 0.921 0.8538 0.9106 0.8741 0.8702 0.8081
1000, 0.3998 0.8493 0.9008 0.9153 0.8735 0.9244 0.9028 0.8602 0.8153
3000, 0.4042 0.8533 0.916 0.9378 0.8958 0.9403 0.9232 0.8876 0.8152
