10, 0.4486 0.5075 0.5068 0.5065 0.518 0.4873 0.478 0.4701 0.3644
20, 0.5003 0.5695 0.5085 0.6611 0.6322 0.6551 0.6238 0.6397 0.5343
40, 0.6782 0.6458 0.6985 0.7939 0.7363 0.7031 0.7111 0.6617 0.7457
60, 0.65 0.7427 0.7552 0.7473 0.72 0.8596 0.7368 0.7892 0.8001
80, 0.777 0.7708 0.7994 0.8519 0.7455 0.779 0.8386 0.834 0.6595
100, 0.8007 0.8185 0.8287 0.7938 0.7832 0.7871 0.8299 0.8711 0.8714
600, 0.882 0.9222 0.9402 0.9355 0.8749 0.9201 0.9259 0.938 0.8875
1000, 0.9216 0.9456 0.953 0.9514 0.9008 0.9465 0.9544 0.9451 0.921
3000, 0.947 0.9563 0.9715 0.9664 0.9059 0.9595 0.9545 0.9633 0.9624
