10, 0.3822 0.485 0.5142 0.5154 0.3048 0.5958 0.5448 0.5075 0.5001
20, 0.5096 0.5984 0.5736 0.6609 0.2699 0.6267 0.5155 0.5946 0.55
40, 0.5655 0.6971 0.7137 0.7235 0.4764 0.6336 0.665 0.6667 0.6588
60, 0.7174 0.6677 0.6869 0.7552 0.5071 0.7693 0.7536 0.6562 0.7053
80, 0.7155 0.727 0.8093 0.7753 0.5196 0.7898 0.7393 0.744 0.7248
100, 0.7325 0.7692 0.7777 0.7641 0.608 0.8026 0.7816 0.7283 0.7648
600, 0.8659 0.8806 0.8973 0.8989 0.7378 0.8743 0.8899 0.883 0.871
1000, 0.9008 0.9145 0.9149 0.9069 0.759 0.9021 0.9122 0.8941 0.8982
3000, 0.937 0.9347 0.9422 0.9326 0.8192 0.9287 0.9275 0.9305 0.9295
