10, 0.194 0.3093 0.4192 0.4591 0.6222 0.5294 0.4784 0.4231 0.309
20, 0.3021 0.4227 0.3684 0.6469 0.7076 0.6744 0.4719 0.3624 0.4742
40, 0.3173 0.5739 0.5057 0.7858 0.6862 0.7282 0.4811 0.6445 0.4317
60, 0.4839 0.6734 0.7556 0.8068 0.8068 0.7838 0.7545 0.7288 0.499
80, 0.3703 0.6722 0.7979 0.7567 0.7917 0.8022 0.794 0.7417 0.7379
100, 0.2769 0.7392 0.8131 0.7955 0.8373 0.8053 0.8393 0.7276 0.7321
600, 0.4865 0.825 0.8912 0.9293 0.8869 0.8647 0.9012 0.8731 0.8321
1000, 0.4773 0.8317 0.9203 0.9341 0.9092 0.928 0.9122 0.8755 0.8389
3000, 0.4636 0.8512 0.9378 0.9562 0.9276 0.9432 0.9293 0.8952 0.8382
