10, 0.2289 0.2451 0.259 0.4691 0.3875 0.5665 0.4789 0.2853 0.3585
20, 0.2008 0.3775 0.4505 0.5161 0.6449 0.6582 0.5695 0.4167 0.3531
40, 0.2461 0.4062 0.5366 0.5838 0.6727 0.7089 0.5631 0.4349 0.3456
60, 0.2101 0.406 0.6388 0.7052 0.6789 0.6901 0.654 0.5007 0.506
80, 0.2534 0.4625 0.6623 0.7417 0.7402 0.7408 0.6415 0.5117 0.4873
100, 0.2599 0.525 0.668 0.7409 0.7294 0.7583 0.6481 0.5866 0.5235
600, 0.3435 0.6698 0.7981 0.8727 0.8288 0.8571 0.7943 0.6907 0.6653
1000, 0.3938 0.7172 0.8365 0.8931 0.8553 0.8786 0.8307 0.7438 0.7026
3000, 0.4656 0.8001 0.8718 0.9277 0.8909 0.9103 0.8685 0.7979 0.7696
