10, 0.2105 0.1748 0.3203 0.5044 0.2966 0.5798 0.2829 0.2396 0.3015
20, 0.2234 0.2751 0.4309 0.5595 0.3783 0.5996 0.4441 0.4352 0.3397
40, 0.2768 0.5564 0.5409 0.6961 0.5712 0.6581 0.6859 0.411 0.4278
60, 0.3512 0.6227 0.6834 0.7688 0.6338 0.7783 0.6851 0.6391 0.6639
80, 0.2222 0.5834 0.7278 0.6147 0.6691 0.7856 0.5974 0.6307 0.6812
100, 0.2102 0.707 0.7257 0.8101 0.6631 0.7961 0.7697 0.7168 0.7399
600, 0.39 0.8753 0.8964 0.9174 0.8394 0.8913 0.8992 0.8699 0.8469
1000, 0.2839 0.8828 0.9195 0.9322 0.8603 0.9215 0.905 0.8949 0.8088
3000, 0.2452 0.8421 0.9146 0.9517 0.8654 0.9469 0.919 0.8803 0.8134
