10, 0.2073 0.2334 0.2497 0.52 0.2678 0.4965 0.4219 0.3912 0.238
20, 0.1939 0.343 0.3489 0.5943 0.5348 0.5826 0.4278 0.3324 0.2953
40, 0.2219 0.5286 0.6363 0.5823 0.3696 0.7106 0.5545 0.3914 0.3187
60, 0.3124 0.5826 0.6585 0.7676 0.6103 0.7384 0.6723 0.6253 0.5578
80, 0.3222 0.5752 0.7219 0.6458 0.4658 0.7496 0.5415 0.4684 0.6999
100, 0.2364 0.6146 0.7218 0.8128 0.4898 0.7924 0.7472 0.4252 0.7332
600, 0.3433 0.8412 0.8975 0.9182 0.8434 0.9098 0.893 0.8857 0.8519
1000, 0.2987 0.8904 0.9018 0.9289 0.8478 0.9266 0.9058 0.9018 0.8729
3000, 0.2746 0.8583 0.9332 0.9512 0.8531 0.9331 0.9037 0.874 0.8229
