10, 0.2193 0.2596 0.3947 0.5194 0.67 0.5355 0.4888 0.4237 0.2683
20, 0.2156 0.3375 0.4985 0.59 0.6959 0.6247 0.5245 0.4682 0.4029
40, 0.391 0.5399 0.6942 0.7142 0.693 0.7119 0.5567 0.4227 0.5581
60, 0.231 0.5904 0.7032 0.6997 0.7613 0.7313 0.7001 0.6672 0.4191
80, 0.4422 0.6008 0.7707 0.6963 0.8184 0.783 0.7505 0.5331 0.7037
100, 0.4699 0.6963 0.7865 0.6219 0.8167 0.7539 0.7783 0.7406 0.7094
600, 0.4969 0.8737 0.908 0.9263 0.886 0.9077 0.9044 0.8775 0.8187
1000, 0.4178 0.8944 0.9307 0.9441 0.8715 0.9073 0.9085 0.8947 0.8854
3000, 0.3164 0.9123 0.9457 0.9627 0.9208 0.9278 0.9287 0.8786 0.8666
